patch trace ID	Trace Lifetime (timepoints)	Trace Average Velocity	Trace Average Velocity Leading	Trace Average Velocity Trailing	Trace Average Angle of Movement	Trace Average Patch Area Growth	Trace Average Patch Length Growth	Trace Average Patch Delta Intensity_ch1	Trace Average Patch Delta Integrated Intensity_ch1	Trace Cumulated integrated intensity_ch1	Trace Average Patch Delta Intensity_ch2	Trace Average Patch Delta Integrated Intensity_ch2	Trace Cumulated integrated intensity_ch2	Trace Average Patch Delta Intensity_ch3	Trace Average Patch Delta Integrated Intensity_ch3	Trace Cumulated integrated intensity_ch3	Trace Average Patch Delta Intensity_ch4	Trace Average Patch Delta Integrated Intensity_ch4	Trace Cumulated integrated intensity_ch4	Trace Average Patch Delta Intensity_ch5	Trace Average Patch Delta Integrated Intensity_ch5	Trace Cumulated integrated intensity_ch5	Patch Path Length	Patch Displacement	Patch Trace Directional Persistence
315	2	0.001385	0.003689	0.000969	-5.557810	0.591365	0.371079	40.062500	4799.000000	13021.000000	7.941667	674.000000	1670.000000			0.000000			0.000000			0.000000	0.415571	0.415571	1.000000
316	2	0.000775	0.000000	0.001532	6.340191	-0.168962	-0.065323	-28.125000	-1113.000000	2889.000000	-20.125000	-320.000000	638.000000			0.000000			0.000000			0.000000	0.232638	0.232638	1.000000
317	6	0.000665	0.000944	0.000627	25.496500	-0.008448	0.023084	-18.989167	-339.800000	25615.000000	1.470000	16.400000	4513.000000			0.000000			0.000000			0.000000	0.997859	0.838571	0.840370
318	1									555.000000			88.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
319	1									3638.000000			411.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
320	4	0.000679	0.000834	0.000685	-36.651609	0.070400	0.064528	-2.366667	372.000000	11082.000000	4.600000	126.333333	1852.000000			0.000000			0.000000			0.000000	0.611293	0.578110	0.945717
321	5	0.000866	0.003016	0.002870	-72.723137	0.105601	0.067540	13.357639	784.500000	36237.000000	-3.420139	27.500000	5123.000000			0.000000			0.000000			0.000000	1.039545	0.901564	0.867268
322	1									2774.000000			297.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
323	6	0.000595	0.000774	0.001571	167.547893	0.000000	-0.000000	-14.200000	-28.400000	16354.000000	-1.500000	-3.000000	2204.000000			0.000000			0.000000			0.000000	0.892052	0.459567	0.515179
324	2	0.002470	0.002470	0.002470	146.309924	0.000000	0.000000	-52.750000	-211.000000	1853.000000	-5.000000	-20.000000	236.000000			0.000000			0.000000			0.000000	0.741029	0.741029	1.000000
325	5	0.000985	0.001250	0.001197	149.666359	-0.073921	-0.079375	-0.346154	-398.250000	31627.000000	-1.730769	-97.750000	4931.000000			0.000000			0.000000			0.000000	1.181841	1.161897	0.983125
326	1									550.000000			222.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
327	7	0.000961	0.001710	0.001775	42.270880	0.369603	0.086069	-21.339096	1773.000000	63809.000000	3.326684	536.250000	12568.000000			0.000000			0.000000			0.000000	1.704135	0.602707	0.353673
328	1									1123.000000			148.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
329	1									2276.000000			598.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
330	7	0.000707	0.001084	0.001539	-155.862985	0.126721	0.098065	-32.194444	234.500000	21880.000000	-10.000000	-22.000000	4158.000000			0.000000			0.000000			0.000000	1.170634	0.345086	0.294785
331	10	0.000654	0.001072	0.001098	-17.019381	-0.089174	-0.049523	-4.752058	-520.444444	61974.000000	-1.922840	-107.333333	9605.000000			0.000000			0.000000			0.000000	1.765576	1.516145	0.858725
